,(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12)
,inside,,,,,,,,,,,
treat,-0.01,0.01,0.04,-0.01,-0.02,-0.02,0.05,-0.04,-0.01,-0.03,0.01,-0.01
,[0.01],[0.02],[0.03],[0.02],[0.02],[0.04],[0.05],[0.03],[0.01],[0.02],[0.02],[0.02]
Constant,0.73,0.89,0.85,0.54,0.57,0.73,0.64,0.42,0.93,0.92,0.94,0.93
,[0.01]***,[0.02]***,[0.02]***,[0.02]***,[0.02]***,[0.03]***,[0.04]***,[0.02]***,[0.01]***,[0.01]***,[0.02]***,[0.02]***
Observations,2106,643,480,983,2106,643,480,983,1698,613,472,613
R-squared,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Robust standard errors in brackets,,,,,,,,,,,,
* significant at 10%; ** significant at 5%; *** significant at 1%,,,,,,,,,,,,
